adv1;1. Advent;1. Sonntag im Advent;
adv2;2. Advent;2. Sonntag im Advent;
adv3;3. Advent;3. Sonntag im Advent;
adv4;4. Advent;4. Sonntag im Advent;
xmas0.1224;Heiliger Abend;Heiliger Abend;
xmas0.122418;Christvesper;Heiliger Abend - Christvesper;
xmas0.122422;Christnacht;Heiliger Abend - Christnacht;
xmas1.1225;1. Weihnachstag;Christfest - 1. Feiertag;
xmas2.1226;2. Weihnachtstag;Christfest - 2. Feiertag;
xmas1;1. So.n.Weihn.;1. Sonntag nach dem Christfest;
silv.1231;Sivester;Altjahrsabend: Silvester;
newyear.0101;Neujahrstag;Neujahrstag;
xmas2;2. So.n.Weihn.;2. Sonntag nach dem Christfest;
epi0.0106;Epiph.;Epiphanias;
epi1;1. So.n.Epiph.;1. Sonntag nach Epiphanias;
epi2;2. So.n.Epiph.;2. Sonntag nach Epiphanias;
epi3;3. So.n.Epiph.;3. Sonntag nach Epiphanias;
epi4;4. So.n.Epiph.;4. Sonntag nach Epiphanias;
epi5;5. So.n.Epiph.;5. Sonntag nach Epiphanias;
epi;Letzter So.n.Epiph.;Letzter Sonntag nach Epiphanias;
lent3;Septuagesimä;Septuagesimä: 3. Sonntag vor der Passionszeit;
lent2;Sexagesimä;Sexagesimä: 2. Sonntag vor der Passionszeit;
lent;Estomihi;Estomihi: Sonntag vor der Passionszeit;
fastmo;Rosenmontag;Rosenmontag;
fastdi;Fastnacht;Fastnachtsdienstag;
ashes;Aschermittw.;Aschermittwoch;
lent1;Invokavit;Invokavit: 1. Sonntag der Passionszeit;
lent2;Reminiszere;Reminiszere: 2. Sonntag der Passionszeit;
lent3;Okuli;Okuli: 3. Sonntag der Passionszeit;
lent4;Lätare;Lätare: 4. Sonntag der Passionszeit;
lent5;Judika;Judika: 5. Sonntag der Passionszeit;
lent6;Palmsonntag;Palmsonntag: 6. Sonntag der Passionszeit;
maundy;Gründonnerstag;Gründonnerstag: Tag der Einsetzung des Abendmahls;
hfriday;Karfreitag;Karfreitag: Tag der Kreuzigung des Herrn;
hsatur;Karsonnabend;Karsonnabend;
east0;Ostersonntag;Ostersonntag: Tag der Auferstehung des Herrn;
eastmon;Ostermontag;Ostermontag;
east1;Quasimodogeniti;Quasimodogeniti: 1. Sonntag nach Ostern;
east1;Weißer Sonntag;Weißer Sonntag;
east2;Miserikordias Dom.;Miserikordias Domini: 2. Sonntag nach Ostern;
east3;Jubilate;Jubilate: 3. Sonntag nach Ostern;
east4;Kantate;Kantate: 4. Sonntag nach Ostern;
east5;Rogate;Rogate: 5. Sonntag nach Ostern;
ascens;Christi Himmelf.;Christi Himmelfahrt;
east6;Exaudi;Exaudi: 6. Sonntag nach Ostern;
pent0;Pfingsten;Pfingstsonntag: Tag der Ausgießung des Heiligen Geistes;
pentmon;Pfingstmontag;Pfingstmontag;
trin;Trinitatis;Trinitatis: Tag der Dreieinigkeit;
trin1;1. So.n.Trin.;1. Sonntag nach Trinitatis;
fronl;Fronleichnam;Fronleichnam;
marasc;Mariä Himmelf.;Mariä Himmelfahrt;
trin2;2. So.n.Trin.;2. Sonntag nach Trinitatis;
trin3;3. So.n.Trin.;3. Sonntag nach Trinitatis;
trin4;4. So.n.Trin.;4. Sonntag nach Trinitatis;
trin5;5. So.n.Trin.;5. Sonntag nach Trinitatis;
trin6;6. So.n.Trin.;6. Sonntag nach Trinitatis;
trin7;7. So.n.Trin.;7. Sonntag nach Trinitatis;
trin8;8. So.n.Trin.;8. Sonntag nach Trinitatis;
trin9;9. So.n.Trin.;9. Sonntag nach Trinitatis;
trin10;10. So.n.Trin.;10. Sonntag nach Trinitatis;
trin11;11. So.n.Trin.;11. Sonntag nach Trinitatis;
trin12;12. So.n.Trin.;12. Sonntag nach Trinitatis;
trin13;13. So.n.Trin.;13. Sonntag nach Trinitatis;
trin14;14. So.n.Trin.;14. Sonntag nach Trinitatis;
trin15;15. So.n.Trin.;15. Sonntag nach Trinitatis;
trin16;16. So.n.Trin.;16. Sonntag nach Trinitatis;
trin17;17. So.n.Trin.;17. Sonntag nach Trinitatis;
trin18;18. So.n.Trin.;18. Sonntag nach Trinitatis;
trin19;19. So.n.Trin.;19. Sonntag nach Trinitatis;
wieder.1003;T.d.Wiedervereinig.;Tag der deutschen Wiedervereinigung;
trin20;20. So.n.Trin.;20. Sonntag nach Trinitatis;
trin21;21. So.n.Trin.;21. Sonntag nach Trinitatis;
trin22;22. So.n.Trin.;22. Sonntag nach Trinitatis;
trin23;23. So.n.Trin.;23. Sonntag nach Trinitatis;
trin24;24. So.n.Trin.;24. Sonntag nach Trinitatis;
martin;Martini;Martinstag;
trin97;3.letzter So.im Kj.;Drittletzter Sonntag des Kirchenjahres;
trin98;Volkstrauertag;Volkstrauertag: Vorletzter Sonntag des Kirchenjahres;
prayer;Buß- und Bettag;Buß- und Bettag;
trin99;Ewigkeitssonntag;Ewigkeitssonntag: / Letzter Sonntag des Kirchenjahres;
thanks;Erntedankfest;Erntedankfest;
reform.1031;Reformationstag;Reformationstag: 31. Oktober;
konfi;Konfirmation;Konfirmation;
kirchw;Kirchweihe;Kirchweihe;
unity;f.d.Einheit d.K.;Bittgottesdienst um die Einheit der Kirche;
evang;f.d.Ausbr. d.Ev.;Bittgottesdienst um die Ausbreitung des Evangeliums;
peace;f.d.Frieden;Bittgottesdienst um Frieden;
steph.1226;Stephanus;26. Dezember, Tag des Erzmärtyrers Stephanus;
child.1228;Unsch. Kinder;28. Dezember, Tag der unschuldigen Kinder;
newyear.0101;Jesu Darst.;1. Januar, Tag der Beschneidung und Namensgebung Jesu;
lichtm.0202;Lichtmess;2. Februar, Tag der Darstellung des Herrn (Lichtmess);
marann.0325;Mariä Ankünd.;25. März, Tag der Ankündigung der Geburt des Herrn;
johann.0624;Johannis;24. Juni, Tag der Geburt Johannes des Täufers;
pepa.0629;Peter+Paul;29. Juni, Tag der Apostel Petrus und Paulus;
marheim.0702;Mariä Heims.;2. Juli, Tag der Heimsuchung Mariä;
michael.0929;Michaelis;29. September, Tag des Erzengels Michael und aller Engel;
halow.1101;Allerheiligen;1. November, Gedenktag der Heiligen;
halos.1102;Allerseelen;Allerseelen;
